2026-04-23 14:36:02 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:36:05 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: right | Target Confidence: 0.95
2026-04-23 14:36:08 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:36:11 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: right | Target Confidence: 0.96
2026-04-23 14:36:14 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.93
2026-04-23 14:36:17 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.94
2026-04-23 14:36:19 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.94
2026-04-23 14:36:22 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.94
2026-04-23 14:36:25 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:36:28 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:36:31 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:36:34 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:36:38 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:36:41 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:36:44 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:36:47 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.94
